[setup] device=cuda amp=True dtype=torch.bfloat16
[data] loading ['libero_spatial', 'libero_object', 'libero_goal', 'libero_10'] from data/libero (wrist=True proprio=True augment=True)
[data] train=288464 val=32111 (2.8s)
[model] building LIBEROVLA ...
Loading weights:   0%|          | 0/338 [00:00<?, ?it/s]Loading weights: 100%|██████████| 338/338 [00:00<00:00, 9160.47it/s]
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/208 [00:00<?, ?it/s]Loading weights: 100%|██████████| 208/208 [00:00<00:00, 9411.88it/s]
[1mSiglipVisionModel LOAD REPORT[0m from: google/siglip-base-patch16-224
Key                                                          | Status     |  | 
-------------------------------------------------------------+------------+--+-
text_model.encoder.layers.{0...11}.self_attn.out_proj.weight | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.q_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.k_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.mlp.fc1.weight            | UNEXPECTED |  | 
logit_scale                                                  | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.v_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.mlp.fc2.bias              | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.layer_norm2.bias          | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.layer_norm1.weight        | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.out_proj.bias   | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.layer_norm1.bias          | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.mlp.fc1.bias              | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.layer_norm2.weight        | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.k_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.v_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.mlp.fc2.weight            | UNEXPECTED |  | 
logit_bias                                                   | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.q_proj.weight   | UNEXPECTED |  | 
text_model.embeddings.token_embedding.weight                 | UNEXPECTED |  | 
text_model.head.weight                                       | UNEXPECTED |  | 
text_model.final_layer_norm.weight                           | UNEXPECTED |  | 
text_model.head.bias                                         | UNEXPECTED |  | 
text_model.final_layer_norm.bias                             | UNEXPECTED |  | 
text_model.embeddings.position_embedding.weight              | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
[model] built in 22.0s, trainable=28.41M
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: seankellymcgowan (seankellymcgowan-kyilkhor) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 7ofkm0sv
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /workspace/libero_vla/wandb/run-20260419_223854-7ofkm0sv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run joint-run-b
wandb: ⭐️ View project at https://wandb.ai/seankellymcgowan-kyilkhor/libero-vla
wandb: 🚀 View run at https://wandb.ai/seankellymcgowan-kyilkhor/libero-vla/runs/7ofkm0sv
[train] starting from step 0 -> 50000
[step     50/50000] loss=1.3371  lr=4.90e-06  grad=7.08  63.0 sa/s
[step    100/50000] loss=1.1327  lr=9.90e-06  grad=7.92  71.8 sa/s
[step    150/50000] loss=0.6887  lr=1.49e-05  grad=5.75  71.8 sa/s
[step    200/50000] loss=0.5244  lr=1.99e-05  grad=7.88  71.9 sa/s
[step    250/50000] loss=0.4694  lr=2.49e-05  grad=5.72  71.8 sa/s
[step    300/50000] loss=0.4322  lr=2.99e-05  grad=7.00  71.9 sa/s
[step    350/50000] loss=0.4324  lr=3.49e-05  grad=10.44  71.9 sa/s
[step    400/50000] loss=0.4130  lr=3.99e-05  grad=3.57  71.9 sa/s
[step    450/50000] loss=0.3894  lr=4.49e-05  grad=4.29  71.9 sa/s
[step    500/50000] loss=0.3728  lr=4.99e-05  grad=3.98  71.9 sa/s
[step    550/50000] loss=0.3627  lr=5.00e-05  grad=4.08  71.9 sa/s
[step    600/50000] loss=0.3513  lr=5.00e-05  grad=3.23  71.9 sa/s
[step    650/50000] loss=0.3457  lr=5.00e-05  grad=3.47  72.0 sa/s
[step    700/50000] loss=0.3340  lr=5.00e-05  grad=4.06  71.8 sa/s
[step    750/50000] loss=0.3328  lr=5.00e-05  grad=2.61  71.8 sa/s
[step    800/50000] loss=0.3261  lr=5.00e-05  grad=2.02  71.8 sa/s
[step    850/50000] loss=0.3165  lr=5.00e-05  grad=2.55  71.8 sa/s
[step    900/50000] loss=0.3201  lr=5.00e-05  grad=3.60  71.9 sa/s
[step    950/50000] loss=0.2993  lr=5.00e-05  grad=3.80  71.9 sa/s
[step   1000/50000] loss=0.2987  lr=5.00e-05  grad=2.60  71.9 sa/s
[step   1050/50000] loss=0.3091  lr=5.00e-05  grad=2.76  71.9 sa/s
[step   1100/50000] loss=0.2918  lr=5.00e-05  grad=2.99  71.9 sa/s
[step   1150/50000] loss=0.2789  lr=5.00e-05  grad=2.24  71.9 sa/s
[step   1200/50000] loss=0.2829  lr=5.00e-05  grad=2.46  71.9 sa/s
[step   1250/50000] loss=0.2843  lr=5.00e-05  grad=2.58  71.9 sa/s
[step   1300/50000] loss=0.2711  lr=5.00e-05  grad=3.02  72.0 sa/s
[step   1350/50000] loss=0.2694  lr=5.00e-05  grad=3.05  71.9 sa/s
[step   1400/50000] loss=0.2675  lr=5.00e-05  grad=2.93  71.9 sa/s
[step   1450/50000] loss=0.2689  lr=5.00e-05  grad=2.28  72.0 sa/s
[step   1500/50000] loss=0.2542  lr=4.99e-05  grad=2.54  71.9 sa/s
[step   1550/50000] loss=0.2682  lr=4.99e-05  grad=2.18  71.9 sa/s
[step   1600/50000] loss=0.2511  lr=4.99e-05  grad=1.91  71.9 sa/s
[step   1650/50000] loss=0.2649  lr=4.99e-05  grad=1.88  72.0 sa/s
[step   1700/50000] loss=0.2575  lr=4.99e-05  grad=2.26  71.9 sa/s
[step   1750/50000] loss=0.2430  lr=4.99e-05  grad=2.50  72.0 sa/s
[step   1800/50000] loss=0.2486  lr=4.99e-05  grad=1.66  72.0 sa/s
[step   1850/50000] loss=0.2435  lr=4.99e-05  grad=1.75  72.0 sa/s
[step   1900/50000] loss=0.2510  lr=4.99e-05  grad=2.58  72.0 sa/s
[step   1950/50000] loss=0.2454  lr=4.99e-05  grad=1.87  72.0 sa/s
[step   2000/50000] loss=0.2337  lr=4.99e-05  grad=2.22  72.0 sa/s
[eval    2000] val_loss=0.3026  (5.5s)
[ckpt] saved checkpoints/joint-run-b/last.pt
